Country,Document.Name,Publisher.Organization,Year,Link,Summary,Thematic.Areas,Main_Category,Publisher_Origin,Publisher_Region
Sub-Saharan Africa,The role of cryptocurrencies in sub-Saharan Africa,Brookings Institution,2022,https://www.brookings.edu/articles/the-role-of-cryptocurrencies-in-sub-saharan-africa/,"Details how crypto supports MSMEs, remittances, and inflation hedging; calls for regulatory sandboxes to balance innovation and consumer safety.","Adoption, Financial Inclusion, Sandbox Regulation",Financial Inclusion & Social Impact,International,International
Sub-Saharan Africa,The Role of Cryptocurrencies in Sub-Saharan Africa,Brookings Institution,2022,https://www.brookings.edu/articles/the-role-of-cryptocurrencies-in-sub-saharan-africa/,"Highlights crypto’s role in MSME funding, remittances, inflation hedging; recommends sandbox regulation to encourage innovation yet ensure protection.",Adoption,Innovation & Adoption Trends,International,International
Sub-Saharan Africa,The role of cryptocurrencies in sub-Saharan Africa,Brookings Institution,2023,https://www.brookings.edu/wp-content/uploads/2023/02/ForesightAfrica_2023_Chapter4.pdf,This chapter discusses the transformative potential of cryptocurrencies for expanding financing options for SMEs and facilitating cheaper remittances.,"P2P Markets, Remittances & Economic Impact",Economic & Financial Impact,International,International
Nigeria,Digital Currency and the Politics of Dissent in Nigeria,Journal of Modern African Studies,2023,https://www.cambridge.org/core/journals/journal-of-modern-african-studies/article/digital-currency-and-the-politics-of-dissent-in-nigeria/S0022278X2300015X,"An academic paper analyzing the pivotal role of Bitcoin in the #EndSARS movement, framing it as a case study in how decentralized technology is used for political mobilization against the state.",Political Science & Regional Integration,Regional Integration & Geopolitics,International,African
Egypt,Financial Technology Regulatory Sandbox,Central Bank of Egypt,2025,https://www.cbe.org.eg/en/fintech/Documents/Sandbox-Framework-2025.pdf,"Excludes cryptocurrency projects from Phase 3 sandbox cohort (2025-2026), focusing on instant payments and microfinance solutions","Fintech Regulation, Payment Innovation",Innovation & Adoption Trends,International,African
Egypt,Regulatory Sandbox Framework,Central Bank of Egypt (CBE),2025,https://www.cbe.org.eg/en/fintech/Documents/Sandbox-Framework-2025.pdf,"Operates a regulatory sandbox to support startups developing innovative financial solutions, ensuring compliance and consumer protection.","Regulatory Sandbox, Fintech Innovation",Innovation & Adoption Trends,International,African
Egypt,Law No. 194 of 2020,Government of Egypt,2020,https://www.cbe.org.eg/en/news-publications/news/2022/09/12/warning-statement,"Cryptocurrencies are illegal. The Central Bank of Egypt and the banking sector Law No. 194 of 2020 prohibit issuing, trading, or promoting cryptocurrency. Bitcoin has also been declared haram (prohibited under Islamic law).","Ban, Legal Framework","Regulation, Law & Compliance",International,African
Nigeria,Cryptocurrency Trading Ban Notice,Central Bank of Nigeria (CBN),2021,https://www.cbn.gov.ng/out/2021/ccd/volume%203%20number%202%20cbn%20update%20february%202021.pdf,"Announces a directive for banks to close accounts linked to crypto trading, aligning with CBN and SEC’s stance on limiting crypto use.","Regulatory Enforcement, Financial Stability",Economic & Financial Impact,International,African
Nigeria,Guidelines on Operations of Bank Accounts for Virtual Assets Service Providers,Central Bank of Nigeria (CBN),2023,https://www.cbn.gov.ng/out/2024/fprd/guidelines%20on%20operations%20of%20bank%20accounts%20for%20virtual%20asset%20providers.pdf,"Provides minimum standards for banking relationships and account opening for VASPs, relaxing previous restrictions and requiring SEC licensing.","Regulatory Framework, VASP Operations","Regulation, Law & Compliance",International,African
Nigeria,Guidelines on Operations of Bank Accounts for VASPs,Central Bank of Nigeria (CBN),2023,https://www.cbn.gov.ng/out/2024/fprd/guidelines%20on%20operations%20of%20bank%20accounts%20for%20virtual%20asset%20providers.pdf,"The CBN lifted its 2017 ban and published new rules for VASPs, allowing them to open bank accounts under strict guidelines. The SEC also published guidelines for licensing, AML/CFT, and KYC measures in 2024.","Regulation, VASP, Licensing, AML/CFT, KYC","Regulation, Law & Compliance",International,African
Nigeria,Digital Currencies: Emerging Trends,Central Bank of Nigeria,2022,"https://www.cbn.gov.ng/Out/2024/RSD/Digital%20Currencies%20Emerging%20Trends,.pdf",Defines cryptocurrencies as privately issued and highlights central banks' movement toward CBDCs.,"Cryptocurrency Classification, CBDC Trends",CBDC & Monetary Policy,African,African
Nigeria,Digital Currencies: Emerging Trends,Central Bank of Nigeria (CBN),2022,"https://www.cbn.gov.ng/Out/2024/RSD/Digital%20Currencies%20Emerging%20Trends,.pdf","Discusses classifications of digital currencies (crypto, virtual, CBDC) and emphasizes that cryptocurrencies are privately issued and unregulated.","Digital Currency Typologies, Market Trends",Innovation & Adoption Trends,International,African
Nigeria,Digital Currencies: Global Trends,Central Bank of Nigeria (CBN),2022,https://www.cbn.gov.ng/out/2024/rsd/digital%20currencies%20emerging%20trends%201.pdf,"Highlights growing global interest in CBDCs, the rise of stablecoins, and how these developments are influencing central bank policies.","CBDC Development, Monetary Policy",CBDC & Monetary Policy,International,African
Nigeria,The Tokenisation of Assets,Central Bank of Nigeria (CBN),2022,https://www.cbn.gov.ng/out/2024/rsd/the%20tokenisation%20of%20assets.pdf,Details how blockchain can enable fractional ownership through tokenization and expand investment access.,"Tokenization, Blockchain Technology",Blockchain & Digital Infrastructure,International,African
Kenya,Public Notice on Virtual Currencies such as Bitcoin,Central Bank of Kenya,2015,https://www.centralbank.go.ke/images/docs/media/Public_Notice_on_virtual_currencies_such_as_Bitcoin.pdf,"Warns public against trading, holding or transacting with Bitcoin due to lack of legal backing and licensing.","Risk Advisory, Consumer Protection","Risk, Security & Consumer Protection",African,African
Kenya,Public Notice on Virtual Currencies such as Bitcoin,Central Bank of Kenya (CBK),2015,https://www.centralbank.go.ke/images/docs/media/Public_Notice_on_virtual_currencies_such_as_Bitcoin.pdf,"CBK warns the public about the use, holding, and trading of Bitcoin and other virtual currencies. Notes that such currencies are not legal tender and carry significant risks.","Consumer Protection, Regulatory Warnings","Risk, Security & Consumer Protection",International,African
Sub-Saharan Africa,2023 Geography of Cryptocurrency Report,Chainalysis,2023,https://www.chainalysis.com/blog/africa-cryptocurrency-adoption/,"The region received $117.1 billion in on-chain value between July 2022 and June 2023. High adoption in Nigeria, Kenya, Ghana, and South Africa is driven by economic challenges. The report notes that regulatory developments, such as South Africa's licensing regime and Kenya's proposed bill, are creating growth opportunities. [3]",Adoption,Innovation & Adoption Trends,International,International
Africa,2021 Grassroots Cryptocurrency Adoption in Africa,Chainalysis,2021,https://www.chainalysis.com/blog/africas-grassroots-cryptocurrency-adoption/,"Africa's crypto market grew over 1200% by value, with Kenya, Nigeria, South Africa, and Tanzania in the top 20 for adoption. P2P platforms are popular due to banking restrictions. Key use cases include remittances, commercial payments, and hedging against currency devaluation. [2]",Adoption,Innovation & Adoption Trends,International,International
Chainalysis,2024 Geography of Crypto Report,Chainalysis,2024,https://www.chainalysis.com/blog/subsaharan-africa-crypto-adoption-2024/,"Comprehensive analysis of crypto adoption patterns in Sub-Saharan Africa, highlighting retail-sized transactions, stablecoin use, and DeFi adoption.","Crypto Adoption, Market Trends",Innovation & Adoption Trends,International,International
Sub-Saharan Africa,2024 Geography of Cryptocurrency Report,Chainalysis,2024,https://www.chainalysis.com/blog/subsaharan-africa-crypto-adoption-2024/,"The report finds Sub-Saharan Africa received an estimated $125 billion in on-chain value between July 2023 and June 2024. Nigeria, Ethiopia, Kenya, and South Africa show high grassroots adoption. The region leads in DeFi adoption, and stablecoins are heavily used for inflation hedging and remittances. Regulatory landscapes in South Africa and Nigeria are evolving with new licensing and incubation programs. [1, 2]",Adoption,Innovation & Adoption Trends,International,International
Africa,A Digital Lions’ Share: The Geopolitics of Digital Financial Services in Africa,Chatham House,2022,https://www.chathamhouse.org/sites/default/files/2022-06/2022-06-14-digital-financial-services-africa-towers-tjon-lai.pdf,"A report from a major UK think tank that discusses the geopolitical competition in Africa's digital finance space, including the influence of Chinese tech companies and US-dollar stablecoins.",Political Science & Regional Integration,Regional Integration & Geopolitics,International,International
East Africa,Shamba Records (Agricultural Supply Chain),CV VC,2025,https://www.cvvc.com/blogs/from-dust-to-trust-how-blockchain-in-africa-is-powering-regenerative-farming-feeding-the-world,"Blockchain-powered agtech solution for supply chain management and traceability, working with farmers across East Africa.","Agriculture, Supply Chain, Traceability",Sector-Specific Applications,International,International
Africa,Africa's Web3 Developer Landscape,Electric Capital,2024,https://www.developerreport.com/,"While global, the Developer Report is the industry benchmark for tracking active Web3 developers. It contains data showing Africa as one of the fastest-growing regions for new developers.",Infrastructure: Developer Ecosystem,Blockchain & Digital Infrastructure,International,International
Africa,The state of the video-game industry in Africa,The Economist,2022,https://www.economist.com/middle-east-and-africa/2022/07/21/the-state-of-the-video-game-industry-in-africa,"Provides an overview of Africa's rapidly growing gaming market, highlighting the rise of mobile gaming and the nascent interest in blockchain-based P2E models.",Gaming & Metaverse,Sector-Specific Applications,International,International
Egypt,A Primer on Crypto Assets,International Monetary Fund (IMF),2024,https://www.elibrary.imf.org/downloadpdf/view/journals/001/2024/085/001.2024.issue-085-en.pdf,"Comprehensive primer reviewing crypto asset structures, risks, and emerging policies globally and regionally.","Educational, Policy Analysis",Financial Inclusion & Social Impact,International,International
Cameroon,Cameroon: 2023 Article IV Consultation & Staff Report,IMF,2024,https://www.elibrary.imf.org/view/journals/002/2024/051/article-A001-en.xml,"Highlights low banking penetration, strong mobile money presence, and improving digital financial inclusion.","Digital financial inclusion, mobile money",Financial Inclusion & Social Impact,International,International
Global,Financial Crime in the Metaverse: A new frontier for illicit activity,Elliptic,2023,https://www.elliptic.co/hubfs/Financial-crime-in-the-metaverse.pdf,"While global, this report details financial crime typologies (scams, money laundering) relevant to emerging markets, including the African context.","Risk, Security & Behavioral Finance","Risk, Security & Consumer Protection",International,International
Cape Verde,Law 30/X/2023,Government of Cape Verde,2023,https://www.fao.org/faolex/results/details/ar/c/LEX-FAOC221796/,"Regulates virtual asset services and facilitates the establishment of digital banks, effective June 22, 2023.","Regulatory Framework, Digital Banking","Regulation, Law & Compliance",International,African
FATF,FATF Recommendations,Financial Action Task Force (FATF),2025,https://www.fatf-gafi.org/en/publications/Fatfrecommendations/Fatf-recommendations.html,"Sets out a comprehensive framework of measures for countries to combat money laundering, terrorist financing, and proliferation financing.","AML/CFT, Global Standards","Regulation, Law & Compliance",International,International
FATF,Virtual Assets Red Flag Indicators of Money Laundering and Terrorist Financing,Financial Action Task Force (FATF),2020,https://www.fatf-gafi.org/media/fatf/documents/recommendations/Virtual-Assets-Red-Flag-Indicators.pdf,Assists reporting entities in identifying and reporting potential ML/TF activities involving virtual assets.,"AML/CFT, Risk Indicators","Risk, Security & Consumer Protection",International,International
FATF,Guidance for a Risk-Based Approach to Virtual Assets and Virtual Asset Service Providers,Financial Action Task Force (FATF),2019,https://www.fatf-gafi.org/publications/fatfrecommendations/documents/guidance-rba-virtual-assets.html,Aims to help countries and VASPs understand their AML/CFT obligations and effectively implement FATF requirements for the virtual asset sector.,"AML/CFT, Regulatory Compliance","Regulation, Law & Compliance",International,International
South Africa,FIC Sector Risk Assessment – Crypto-asset Service Providers,Financial Intelligence Centre (FIC),2025,https://www.fic.gov.za/wp-content/uploads/2025/04/2025.3-PUB-Sector-risk-assessment-%E2%80%93-Crypto-asset-service-providers-1.pdf,"Analyses crypto-asset service providers in South Africa, including region volumes and risks per Chainalysis report.","AML/CFT, Sector Risk Assessment","Risk, Security & Consumer Protection",International,International
Namibia,Directive to Banks on VASPs,Financial Intelligence Centre (FIC),2023,https://www.fic.na/uploads/Publications/Directives/2023%20Directives/Directive%20to%20Banks%20on%20VASPs.pdf,"Directs banks to conduct due diligence on clients involved in virtual asset activities without proper licensing and registration, and to implement risk mitigation actions.","AML/CFT, Regulatory Enforcement","Regulation, Law & Compliance",International,International
Africa,Which Blockchains are Gaining Traction in Africa?,Forbes Africa,2023,https://www.forbesafrica.com/cryptocurrency/2023/03/20/which-blockchains-are-gaining-traction-in-africa/,"An analysis of the Layer 1 and Layer 2 blockchains (like Ethereum, BNB Chain, Polygon, Cardano) that have the most developer activity and user adoption across Africa.",Infrastructure: L1/L2 Protocols,Blockchain & Digital Infrastructure,International,African
Mauritius,Guidelines on Security Token Offerings,Financial Services Commission,2025,https://www.fscmauritius.org/media/1215/guidelines-on-security-token-offerings-2025.pdf,"Framework for tokenized securities issuance requiring FSC approval, asset backing verification, and investor accreditation (effective Jan 2026)","Digital Securities, Investor Protection","Risk, Security & Consumer Protection",International,African
Mauritius,Regulatory Sandbox Authorisations (RSAs),Financial Services Commission (FSC),2021,https://www.fscmauritius.org/media/167549/regulatory-sandbox-guidelines.pdf,"Amended Financial Services Act to empower granting of RSAs, promoting financial innovation in a supervised environment.","Regulatory Sandbox, Financial Innovation",Innovation & Adoption Trends,International,African
Nigeria,The Rise of Nigeria's NFT Art Scene,Financial Times,2022,https://www.ft.com/content/13d1bd23-74d7-463e-a612-9c4c1a799c35,"A report on the explosion of digital art in Nigeria, profiling leading artists like Osinachi and highlighting how NFTs enabled them to gain international recognition.","Art, Culture & NFTs",Sector-Specific Applications,International,International
South Africa,FSCA Declaration of Crypto Assets as Financial Product,Financial Sector Conduct Authority (FSCA),2022,https://www.gov.za/sites/default/files/gcis_document/202210/47334gen1350.pdf,"Officially declares crypto assets as a financial product under the FAIS Act, requiring providers of related financial services to be licensed as FSPs.","Regulatory Classification, Licensing","Regulation, Law & Compliance",International,African
Sub-Saharan Africa,The Mobile Economy Sub-Saharan Africa 2023,GSMA,2023,https://www.gsma.com/mobileeconomy/wp-content/uploads/2023/09/The-Mobile-Economy-Sub-Saharan-Africa-2023.pdf,"This flagship report discusses the role of mobile money as a gateway to wider digital services, including crypto.",FinTech & Innovation,Innovation & Adoption Trends,International,International
GSMA,State of the Industry Report on Mobile Money 2023,GSMA,2023,https://www.gsma.com/mobilefordevelopment/wp-content/uploads/2023/03/State-of-the-Industry-Report-on-Mobile-Money-2023.pdf,"Highlights the significant growth of mobile money as a mainstream financial service, diversifying into new regions and services.","Mobile Money, Financial Services",Digital Economy & Tech Policy,International,International
African Union,Digital Trade Protocol to the AfCFTA,African Union,2024,https://www.iisd.org/articles/policy-analysis/afcfta-digital-protocol,"Adopted to establish a comprehensive legal framework for digital trade across Africa, including provisions on data governance, consumer protection, and emerging technologies.","Digital Trade, Regional Integration",Regional Integration & Geopolitics,African,African
Africa (Continent-wide),Fintech and the Future of Finance in Africa,IMF,2022,https://www.imf.org/-/media/Files/Publications/DP/2022/English/FTAFREA.ashx,"An IMF discussion note analyzing how fintech and crypto-assets are reshaping financial systems in Africa, highlighting opportunities for inclusion and risks to monetary policy and financial stability.",Economic Impact & Regulation,Economic & Financial Impact,International,International
IMF,Elements of Effective Policies for Crypto Assets,International Monetary Fund (IMF),2023,https://www.imf.org/-/media/Files/Publications/PP/2023/English/PPEA2023004.ashx,"Provides guidance to IMF member countries on key elements of an appropriate policy response to crypto assets, focusing on macroeconomic and financial stability.","Policy Framework, Macroeconomic Stability","Regulation, Law & Compliance",International,International
IMF,Crypto Risks and Regulatory Responses in Sub-Saharan Africa,International Monetary Fund (IMF),2023,https://www.imf.org/-/media/Files/Publications/Selected-Issues-Papers/2025/English/sipea2025096-source-pdf.ashx,"Examines crypto's impact on financial stability and recommends regulatory frameworks tailored for SSA countries, focusing on risks and policy trade-offs.","Financial Stability, Regulatory Frameworks",Economic & Financial Impact,International,International
Sub-Saharan Africa,Africa’s Growing Crypto Market Needs Better Regulations,IMF Blog,2022,https://www.imf.org/en/Blogs/Articles/2022/11/22/africas-growing-crypto-market-needs-better-regulations,"Highlights that only 25% of SSA countries have formal crypto regulation; calls for stronger consumer protection, cautious approach to legal tender, and AML/CFT measures.","Regulatory Urgency, AML/CFT","Regulation, Law & Compliance",International,International
Guinea-Bissau,Guinea-Bissau is Using Blockchain to Boost Fiscal Transparency,Government of Guinea-Bissau,2024,https://www.imf.org/en/News/Articles/2024/10/02/cf-guinea-bissau-is-using-blockchain-to-boost-fiscal-transparency,"No legal status or regulation for cryptocurrencies. In May 2024, the country launched a blockchain platform to enhance the management of its public wage bill.","Regulation, Blockchain, Governance","Regulation, Law & Compliance",International,African
Nigeria,eNaira Implementation Report & IMF Article IV Consultation,Central Bank of Nigeria (CBN) & IMF,2025,https://www.imf.org/en/News/Articles/2025/07/01/pr-25231-nigeria-imf-staff-completes-2025-article-iv-mission,"Details eNaira adoption challenges (1.5% active wallets) with IMF recommendations for risk-based supervision, AML/CFT alignment, and phased capital flow liberalization","CBDC Development, Financial Stability",CBDC & Monetary Policy,International,African
South Africa,South Africa: FSAP Technical Note on Cybersecurity Risk,IMF,2022,https://www.imf.org/en/Publications/CR/Issues/2022/02/23/South-Africa-Financial-Sector-Assessment-Program-Technical-Note-on-Cybersecurity-Risk-513511,"Focuses on cybersecurity in financial systems, fintech, payment infrastructure, and operational resilience in banks.","Fintech security, regulatory oversight","Risk, Security & Consumer Protection",International,International
Nigeria,Nigeria – Fostering Digital Financial Inclusion,IMF,2023,https://www.imf.org/en/Publications/CR/Issues/2023/03/07/Nigeria-Fostering-Financial-Inclusion-through-Digital-Financial-Services-Nigeria-530633,"Examines fintech's role in financial inclusion, mobile money, infrastructure needs, and highlights potentials of the eNaira CBDC.","Digital finance, CBDC, inclusion",CBDC & Monetary Policy,International,International
Zambia,Zambia: Selected Issues,IMF,2023,https://www.imf.org/en/Publications/CR/Issues/2023/09/27/Zambia-Selected-Issues-538774,Mentions fintech use in investment promotion and identifies infrastructure/access challenges.,Fintech-enabling environment,Innovation & Adoption Trends,International,International
Algeria,Algeria: 2023 Article IV Consultation & Staff Report,IMF,2024,https://www.imf.org/en/Publications/CR/Issues/2024/03/04/Algeria-2023-Article-IV-Consultation-Staff-Report-541473,Describes reforms under Algeria’s Monetary and Banking Law to boost inclusion and digital access.,"Financial inclusion, banking sector reform",Financial Inclusion & Social Impact,International,International
Kenya,Kenya: Technical Assistance Report – Crypto Regulation and Legislation,IMF,2025,https://www.imf.org/en/Publications/CR/Issues/2025/01/08/Kenya-Technical-Assistance-Report-Crypto-Regulation-and-Legislation-560702,"Technical advisory to shape Kenya's crypto asset policy: definitions, FATF alignment, risk assessment, and CASP guidelines.",Crypto regulation development,"Regulation, Law & Compliance",International,International
Pan-Africa,Digital Payment Innovations in Sub-Saharan Africa,International Monetary Fund (IMF),2025,https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2025/06/27/Digital-Payment-Innovations-in-Sub-Saharan-Africa-529198,"Recommends prioritizing mobile money over CBDCs, banning crypto as legal tender, and cross-border regulatory collaboration for SSA","Payment Systems, Policy Coordination","Regulation, Law & Compliance",International,International
Sub-Saharan Africa (Regional),Digital Payment Innovations in Sub-Saharan Africa,International Monetary Fund (IMF),2025,https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2025/06/27/Digital-Payment-Innovations-in-Sub-Saharan-Africa-529198,"Recommends strengthening digital infrastructure, encouraging mobile money, and pursuing CBDCs for specific reasons. States crypto assets should be regulated and not adopted as legal tender.","Regional Policy, Digital Payments, CBDC, Regulation, Financial Innovation",CBDC & Monetary Policy,International,International
Nigeria,Regulating the Crypto Market in Nigeria,International Monetary Fund (IMF),2025,https://www.imf.org/en/Publications/selected-issues-papers/Issues/2025/07/11/Regulating-the-Crypto-Market-in-Nigeria-568580,"The IMF report recommends strengthening the regulatory framework to address risks like capital outflows, money laundering, and consumer fraud by identifying unlicensed firms and taxing capital gains.","Regulation, AML/CFT, Taxation, Capital Outflows, Consumer Protection",Taxation,International,International
Africa-wide,Cryptocurrency Regulation in Africa:... principles vs rules-based regulation (Ozili),Int’l Journal of Blockchains & Cryptocurrencies (Inderscience),2025,https://www.inderscienceonline.com/doi/abs/10.1504/IJBC.2024.143982,"Surveys regulatory approaches—most countries are 'do‑not‑regulate'; a few follow bans, full regulation, or use‑at‑own‑risk models; examines models’ pros and cons.",Regulation Frameworks,"Regulation, Law & Compliance",International,International
Global,NFTs and the Museum: A New Era for Curating and Collecting,Journal of Curatorial Studies,2023,https://www.ingentaconnect.com/content/intellect/jcs/2023/00000012/00000001/art00004,"An academic paper discussing how museums globally are approaching NFTs, relevant to African museums considering how to digitize their collections.","Art, Culture & NFTs",Sector-Specific Applications,International,International
Eswatini,Eswatini Baseline Cryptocurrency Survey,Central Bank of Eswatini / ESEPARC,2023,https://www.insidebiz.co.sz/cryptocurrency-regulation-needed-in-eswatini-eseparc-study/,"A study suggested a balanced and proportionate approach to regulation based on risk-based supervision, consumer protection, financial stability, and international cooperation. The Central Bank is also researching a CBDC.","Regulation, Policy, Risk Management, Consumer Protection, CBDC",CBDC & Monetary Policy,International,African
Global (with Africa data),3rd Global Cryptoasset Benchmarking Study,Cambridge Centre for Alternative Finance (CCAF),2020,https://www.jbs.cam.ac.uk/wp-content/uploads/2021/01/2021-ccaf-3rd-global-cryptoasset-benchmarking-study.pdf,"A foundational global study from a leading university research center. It includes demographic and operational data from African crypto service providers, offering a snapshot of the industry's structure.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Djibouti,Digital Code,Government of Djibouti,2025,https://www.jonesday.com/en/insights/2025/07/national-assembly-of-the-republic-of-djibouti-approves-digital-code,"The government has announced plans to regulate cryptocurrency. On June 30, 2025, the National Assembly approved the Digital Code, which includes provisions for regulating cryptology and creating a cybersecurity body.","Regulation, Cybersecurity, Legal Framework","Risk, Security & Consumer Protection",International,African
Kenya,White Paper: Building a Pan-African Payment & Crypto Settlement Network,Kotani Pay,2022,https://www.kotanipay.com/static/Kotani_Pay-Whitepaper_2.0-d9d15c7e189873d6e3c0423c94895781.pdf,"A whitepaper from a Kenyan startup detailing its technical infrastructure for connecting mobile money (M-Pesa) to blockchain networks via USSD, a crucial piece of 'last-mile' infrastructure.",Infrastructure: Mobile Money Integration,Blockchain & Digital Infrastructure,International,International
Africa (Continent-wide),Into The Cryptoverse: Understanding The Crypto Users In Africa,KuCoin,2022,https://www.kucoin.com/blog/en-into-the-cryptoverse-understanding-the-crypto-users-in-africa,"This report is based on a survey of African crypto users, providing insights into their demographics, motivations for investing, and the challenges they face.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Global,The importance of self-custody and the role of non-custodial wallets,Ledger,2023,https://www.ledger.com/academy/what-is-a-non-custodial-wallet,"An explanation of non-custodial wallets, a critical piece of infrastructure for users in Africa who want to truly own and control their assets without relying on a third-party exchange.",Infrastructure: Wallets,Blockchain & Digital Infrastructure,International,International
Egypt,Regulatory Sandbox,Central Bank of Egypt (CBE),2025,https://www.legal500.com/guides/chapter/egypt-fintech/?export-pdf,"Operates a regulatory sandbox to support startups developing innovative financial solutions, ensuring compliance and consumer protection.","Regulatory Sandbox, Fintech Innovation",Innovation & Adoption Trends,International,African
Guinea-Bissau,The Republic of Guinea-Bissau (Sanctions) (EU Exit) Regulations 2019 (UK),UK Government,2022,https://www.legislation.gov.uk/uksi/2019/554/regulation/25,"While there is no specific local regulation, UK sanctions regulations were amended to include definitions for ""cryptoasset exchange provider"" and ""custodian wallet provider"" as relevant firms for reporting obligations. In May 2024, the country launched a blockchain platform to enhance public wage bill management.",Sanctions,"Risk, Security & Consumer Protection",International,African
Egypt,Central Bank and Banking System Law No. 194/2020,Central Bank of Egypt (CBE),2020,https://www.lexismiddleeast.com/eJournal/2025-05-29_25,"Strictly prohibits issuance, trading, and promotion of cryptocurrencies without prior CBE approval, imposing severe penalties.","Regulatory Prohibition, Legal Framework","Regulation, Law & Compliance",International,African
Global,Verifiable Credentials for Health,Linux Foundation Public Health,2022,https://www.linuxfoundation.org/research/the-global-covid-19-vaccine-credential-landscape,"Discusses the technology of Verifiable Credentials (VCs), often built on blockchain, for creating secure and portable health records, a model being explored by African tech hubs.",Public Health & Healthcare,Sector-Specific Applications,International,International
Africa (Continent-wide),The State of Crypto in Africa,Luno / Arcane Research,2021,https://www.luno.com/static/images/discover/luno-arcane-stateofcrypto-africa.pdf,"A comprehensive report detailing adoption trends, regulatory landscapes, and the socio-economic drivers behind crypto usage across the continent.",Adoption & Drivers,Innovation & Adoption Trends,International,International
South Africa,Crypto Asset Providers (FSP Licensing Requirements),Financial Sector Conduct Authority (FSCA),2023,https://www.masthead.co.za/crypto-asset-providers/,"Outlined requirements for crypto asset providers to apply for an FSP license between June and November 2023, including compliance with conduct rules.","Licensing, Regulatory Compliance","Regulation, Law & Compliance",International,African
Africa-wide,Does Cryptocurrency Hurt African Firms?,MDPI Risks,2022,https://www.mdpi.com/2227-9091/10/3/53,"Firm-level analysis showing rising crypto market caps correlate with declines in African firm valuations, particularly in finance and industry.","Crypto Impact on Firms, Market Risk","Risk, Security & Consumer Protection",International,International
Kenya,Cryptocurrency in Kenya: A Pectoral Study on the Risks and Opportunities of Crypto for Financially Underserved,Mercy Corps Ventures,2022,https://www.mercycorps.org/sites/default/files/2022-04/Crypto_Report-0422.pdf,"A study focused on the practical realities of crypto use among low-income populations in Kenya, highlighting both its utility for savings and the significant risks from scams and volatility.","Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,International
South Africa,The Evolution of South Africa's Crypto Exchanges,Moneyweb,2023,https://www.moneyweb.co.za/crypto/the-evolution-of-sas-crypto-exchanges/,"Traces the history and technical development of South Africa's major exchanges (Luno, VALR), discussing their role as key market infrastructure.",Infrastructure: Centralized Exchanges,Blockchain & Digital Infrastructure,International,International
Morocco,Public Statement on Virtual Currency Transactions,Office des Changes,2017,https://www.oc.gov.ma/sites/default/files/2021-10/Communique_Virtual_Currencies_2017.pdf,"Declared virtual currency transactions an infringement of existing exchange regulations, liable to penalties.",Regulatory Prohibition,"Regulation, Law & Compliance",International,International
Central African Republic,Bill on Legal Tender,Government of the Central African Republic,2022,https://www.osl.com/hk-en/academy/article/how-global-crypto-regulations-are-evolving-in-2025,The Central African Republic adopted a bill to make Bitcoin legal tender alongside its CFA franc and legalized the use of cryptocurrency. The regional central bank (BEAC) has urged the CAR to annul this law.,Legal Tender,"Regulation, Law & Compliance",International,African
South Africa,Guide to Understanding Major Cryptocurrency Issues and Regulatory Frameworks,"Parliamentary Budget Office (PBO), National Assembly of South Africa",2021,https://www.parliament.gov.za/storage/app/media/PBO/Analysis_and_Reports/2021/june/03-06-2021/May_2021_PBO_Select_Finance_Committee_Cryptocurrency_25_May.pdf,"Provides an overview of crypto technology, risks, and regulatory considerations addressed by Parliament.","Regulatory Frameworks, Risk Analysis","Risk, Security & Consumer Protection",International,African
South Africa (Global Report),PwC's 2023 Global Crypto Regulation Report,PwC,2023,https://www.pwc.ch/en/publications/2023/PwC-Annual-Global-Crypto-Regulation-Report-2023.pdf,"A global overview of crypto regulation with specific country profiles, including for South Africa, providing a snapshot of the legal and tax frameworks being implemented.","Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Zimbabwe,Press Statement Warning Against Trading in Cryptocurrencies,Reserve Bank of Zimbabwe (RBZ),2019,https://www.rbz.co.zw/documents/BLSS/BANK%20SUPERVISION/Press%20Releases%20&%20Speeches/2018/PRESS%20STATEMENT%20ON%20WARNING%20AGAINST%20TRADING%20IN%20CRYPTOCURRENCIES%20%20%20-%2011%20May%202019.pdf,Reiterated that virtual currencies are not legal tender and prohibited financial institutions from providing related services due to risks like money laundering and fraud.,Cautionary Warning,"Risk, Security & Consumer Protection",International,African
South Africa,Project Khokha 2,South African Reserve Bank (SARB),2022,https://www.resbank.co.za/content/dam/sarb/publications/reports/other-reports/2022/project-khokha-2-report.pdf,Explored the use of wholesale CBDC (wCBDC) for interbank payments and settlement of tokenized securities.,"Wholesale CBDC, DLT, Tokenization",CBDC & Monetary Policy,International,African
South Africa,IFWG Regulatory Sandbox Framework,Intergovernmental Fintech Working Group (IFWG),2020,https://www.resbank.co.za/en/home/what-we-do/fintech,Launched a regulatory sandbox to provide a controlled environment for testing innovative fintech products and services.,"Regulatory Sandbox, Fintech Innovation",Innovation & Adoption Trends,International,African
